,PC1,PC2,PC3,type
1,0.28358097,0.019511689,-1.584178498,Turkey
2,-0.908416698,-1.050492695,0.768619516,Lamb
3,-0.035162628,0.518442167,-0.944210177,Chicken
4,0.858939823,-0.553738449,-1.06481373,Turkey
5,0.402053836,0.863249065,0.572848356,Pork
6,-1.663510226,-1.128322261,-0.38859039,Beef
7,-0.832949121,2.163977499,1.024269467,Pork
8,-1.221347733,-0.614791563,0.271913208,Lamb
9,0.642816867,0.052767954,-0.405999283,Turkey
10,1.397158681,-0.641018995,0.19532045,Pork
11,-0.033259997,1.099916525,0.941419587,Pork
12,-1.681284597,-1.095581974,-1.136931843,Beef
13,-1.256148472,-0.540731553,0.986627978,Lamb
14,0.576911564,-0.29088887,-0.741578186,Turkey
15,1.27836362,-0.647641016,0.56461089,Pork
16,-0.201553177,1.359210141,-1.069337766,Chicken
17,-1.029119075,-0.881213506,1.243027058,Lamb
18,0.543603393,1.084082914,0.795896829,Pork
19,0.942643259,-1.101584955,-1.109339512,Turkey
20,-0.914354218,1.257757827,-1.407918499,Turkey
21,-1.482044299,-0.226532818,0.918571741,Lamb
22,-1.447621347,-0.164838297,1.689541463,Lamb
23,0.59808956,0.301200961,0.160062703,Turkey
24,-1.15941388,-1.315727323,-0.771880464,Beef
25,-0.286494364,-1.885384632,-0.035462279,Beef
26,-1.389868151,0.214078871,1.274051835,Beef
27,0.821176633,0.287174513,-0.146677815,Chicken
28,0.57852045,-0.031779536,-0.471052406,Chicken
29,-0.91871958,-0.634050112,0.795220328,Lamb
30,-0.706000195,2.60724641,1.731842303,Pork
31,0.340472826,0.776710851,0.291760388,Turkey
32,1.320499218,0.039699794,-0.373201524,Chicken
33,-0.811853139,0.783203767,-1.43658073,Turkey
34,0.043742964,-1.077754626,1.514105777,Lamb
35,0.093505557,1.027021812,-0.890478338,Chicken
36,-0.155804821,0.890016937,-0.811592412,Chicken
37,2.019098281,-0.52847805,2.119717702,Pork
38,0.149556551,1.12101804,0.052756896,Chicken
39,0.831495726,-0.032073295,0.622239958,Pork
40,-1.175478052,-1.405732838,0.037868957,Beef
41,1.722661297,-0.893427042,0.861208743,Pork
42,1.437951312,-0.68382164,0.766208502,Pork
43,0.912911552,-0.545585804,-1.133907957,Turkey
44,0.109890598,0.725684944,-0.404179078,Turkey
45,-0.229324726,1.529422229,-0.597336698,Chicken
46,-0.51450263,1.407179177,-0.795478097,Chicken
47,1.006301259,-1.140394485,-1.619227726,Turkey
48,-1.313464033,-1.522031011,-0.363678304,Beef
49,0.608979543,-0.214904694,-0.999977013,Chicken
50,0.121579056,0.652349645,-1.184774709,Chicken
51,1.725190765,0.067598312,1.688672801,Pork
